Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
192,64,248,232
176,60,284,292
196,64,312,364
180,64,272,232
160,56,224,196
316,80,532,160
352,80,724,104
144,56,228,200
332,84,596,184
232,72,448,128
196,64,260,248
228,76,524,144
180,68,356,312
56,24,200,12
392,84,624,176
200,64,308,280
204,64,308,244
240,76,496,168
312,80,596,192
200,64,192,188
276,76,512,172
152,72,300,168
48,16,148,12
324,80,500,160
148,56,260,56
216,64,256,268
356,84,700,124
196,64,220,212
336,76,548,164
304,84,560,172
232,72,424,384
364,80,680,108
168,60,296,236
316,80,548,164
112,48,336,32
392,92,720,128
176,64,268,292
156,60,252,208
284,76,520,180
352,84,600,204
216,76,448,408
172,60,260,240
180,64,268,208
84,36,256,16
256,72,540,160
168,56,252,184
64,28,208,32
300,80,500,180
116,48,236,36
372,84,556,200
404,84,588,232
148,60,272,204
208,64,232,212
128,60,256,212
44,12,208,20
48,16,168,12
204,68,288,224
184,60,240,236
160,56,276,312
292,80,728,112
304,76,556,184
292,80,576,180
264,76,544,160
380,88,576,216
344,80,544,148
300,76,560,212
296,76,572,196
164,60,268,188
320,80,588,180
300,76,536,168
288,80,552,168
68,32,188,36
224,68,292,244
176,60,312,68
312,84,624,196
336,80,764,120
312,76,552,188
348,76,528,176
196,72,492,424
164,60,248,208
156,56,240,196
756,160,904,284
288,76,524,148
200,64,300,304
216,64,316,324
336,80,528,160
264,76,552,184
160,60,252,232
220,64,276,292
344,76,540,184
180,60,268,204
412,88,764,108
284,76,532,172
316,76,580,216
332,84,632,184
244,72,392,452
348,76,552,184
232,76,436,424
52,24,184,32
348,80,556,212
192,64,292,256
192,64,300,212
216,68,364,308
76,32,252,16
192,64,284,224
296,76,544,164
316,80,580,180
152,56,300,268
312,80,556,192
312,80,544,160
336,80,580,184
292,76,500,140
240,76,288,56
252,88,532,156
148,60,196,60
324,80,544,152
340,76,560,192
156,56,304,172
208,64,256,224
388,92,588,208
220,76,456,392
160,60,276,196
48,12,172,4
108,48,188,20
240,72,296,296
184,64,348,100
44,12,152,12
268,76,556,160
196,60,284,236
220,68,256,272
200,64,228,208
304,76,500,160
184,64,300,216
296,76,564,144
316,76,556,160
196,64,296,248
380,84,748,120
352,76,548,184
296,80,548,180
160,64,332,340
248,76,500,140
52,20,184,20
204,64,248,236
296,84,612,184
212,64,260,188
144,56,240,204
328,80,584,156
192,64,308,268
344,84,580,176
132,52,276,44
356,84,584,168
268,76,576,160
160,60,316,312
336,80,568,200
192,64,288,244
324,84,588,180
184,60,248,216
156,56,184,140
56,24,200,24
56,24,188,12
164,60,292,208
300,72,656,108
292,76,528,164
320,80,584,184
148,56,276,200
296,76,548,148
292,76,588,180
120,56,352,228
160,60,296,228
224,68,296,232
240,72,428,320
244,76,528,140
328,80,572,164
172,60,256,272
152,60,248,240
276,72,536,160
468,100,812,140
212,68,252,256
200,64,208,208
304,80,548,168
248,72,568,168
324,72,512,176
196,60,316,348
184,64,316,332
260,76,560,164
340,84,552,172
144,68,452,384
300,84,556,180
232,76,512,128
268,72,260,284
192,64,300,284
284,72,548,180
136,56,236,252
324,80,624,184
208,64,288,208
224,64,264,276
192,68,232,192
276,80,600,164
204,64,192,200
268,76,512,156
192,60,256,232
92,40,244,28
168,60,264,220
252,76,564,184
188,68,440,348
400,84,660,136
292,76,532,180
192,64,256,236
304,80,460,128
260,72,496,192
216,68,320,304
308,76,576,188
284,76,588,176
212,72,448,428
152,56,308,272
164,60,228,188
232,68,244,292
208,64,228,188
356,80,560,184
232,76,428,308
304,76,468,128
316,76,688,108
156,60,280,224
348,80,572,172
328,76,596,188
88,36,196,20
168,60,256,232
176,60,284,228
332,84,552,148
352,80,536,208
212,64,332,128
152,56,268,212
84,36,176,24
52,20,168,8
124,48,244,28
44,12,160,16
192,64,284,208
216,64,312,80
196,64,264,252
144,56,268,224
212,68,264,280
184,60,328,260
292,80,564,172
200,64,280,220
316,76,504,148
64,28,168,16
360,84,612,200
336,80,576,192
120,48,220,32
176,68,284,88
392,84,728,132
156,56,288,196
408,88,712,144
344,80,680,120
112,44,324,32
156,60,200,188
312,72,488,148
172,60,236,164
344,80,560,152
208,64,268,232
152,56,268,184
308,80,556,180
368,84,364,88
152,64,232,184
188,64,288,256
288,76,516,172
316,72,528,184
376,88,524,188
192,64,260,220
320,80,556,204
48,16,188,20
288,84,604,172
316,80,588,168
348,80,644,200
156,56,268,256
300,76,548,164
76,32,240,20
196,64,236,188
96,40,260,16
256,76,560,148
312,76,516,172
320,76,488,160
264,76,536,172
312,76,500,156
180,64,312,336
260,68,536,220
332,80,332,64
316,80,732,128
344,80,572,188
192,64,264,224
252,68,504,152
308,76,508,144
60,24,200,16
188,60,260,264
72,32,160,20
288,80,528,152
188,80,528,112
52,20,240,16
304,80,544,172
276,68,544,160
204,68,432,456
284,80,672,96
328,76,500,168
272,72,612,176
328,80,620,180
296,76,520,172
312,80,592,180
200,60,224,172
208,64,248,276
348,80,544,172
212,64,276,256
152,60,296,260
256,76,412,288
188,64,256,212
320,76,544,192
336,80,740,112
172,64,256,152
324,80,568,160
228,76,524,180
172,68,260,232
276,80,460,652
332,80,556,156
272,76,496,132
180,60,316,280
244,68,284,56
264,76,600,192
184,64,328,320
488,188,648,76
348,80,796,132
208,68,296,224
200,64,260,220
216,64,288,256
396,80,572,188
192,64,260,216
268,80,700,116
420,92,728,120
52,20,116,16
296,76,536,160
164,60,292,232
304,76,548,168
256,72,456,164
52,20,116,12
336,80,588,184
44,12,264,0
212,68,220,216
280,80,568,184
156,60,300,268
368,88,708,120
160,60,268,264
200,64,312,228
60,24,172,12
44,12,80,12
268,72,544,172
140,56,248,224
284,76,556,188
212,68,252,212
396,88,748,140
196,68,536,132
160,60,288,332
168,60,248,188
168,60,316,268
176,64,260,192
220,64,288,208
168,68,240,188
48,16,260,20
300,76,536,176
168,60,268,212
228,68,312,276
380,84,564,180
340,76,556,172
180,60,284,244
56,24,188,24
164,56,260,212
304,80,552,224
48,16,132,4
156,60,244,200
244,80,572,160
188,68,276,224
196,64,276,228
188,64,268,232
172,60,192,224
216,68,276,240
292,76,532,156
168,60,252,264
380,92,740,132
72,32,244,24
200,64,220,196
168,60,288,316
192,64,240,252
340,80,508,168
248,72,536,152
264,76,516,156
360,76,564,184
312,76,560,184
320,84,564,184
328,76,556,160
236,68,336,256
228,76,440,404
336,80,552,164
360,84,568,184
56,24,200,20
276,76,548,180
356,80,520,184
208,64,272,224
72,32,172,20
180,60,296,264
364,88,616,196
60,24,176,16
344,80,560,184
144,56,308,284
232,72,576,172
348,76,532,168
324,80,540,160
272,72,528,136
300,76,660,104
396,84,596,200
356,84,588,180
276,72,488,168
340,80,532,196
192,68,400,324
196,64,232,228
52,16,144,16
108,52,276,252
200,64,312,292
196,64,312,240
280,76,552,164
284,80,612,180
228,72,300,304
368,72,308,232
192,64,264,264
348,84,508,164
236,68,256,276
292,76,508,176
284,72,544,148
208,68,300,308
44,12,192,12
196,60,288,276
56,24,236,20
168,60,280,216
196,64,256,204
212,68,268,220
320,80,496,156
276,72,500,156
432,88,756,136
184,68,272,304
248,72,540,156
60,24,260,48
200,72,448,412
324,76,528,156
344,80,580,168
192,68,256,244
56,20,144,16
164,60,316,232
184,60,288,180
248,72,580,168
208,64,228,200
260,80,552,156
272,76,524,140
284,80,596,160
292,72,556,180
168,60,284,284
264,80,536,164
396,84,564,160
264,76,524,204
300,80,604,188
308,80,564,184
264,72,480,156
184,60,256,188
220,76,444,464
52,20,196,20
168,56,296,256
196,64,332,40
176,60,316,288
200,60,292,240
44,8,152,8
272,76,592,168
204,64,260,240
184,64,300,244
48,16,120,8
156,60,252,180
216,64,260,256
224,68,428,368
208,68,424,380
156,56,264,308
44,12,128,0
208,76,452,268
292,76,532,176
192,64,252,240
156,56,240,144
56,20,156,8
340,80,528,164
220,68,316,316
216,68,288,308
324,80,584,200
212,64,296,260
280,76,580,180
200,64,260,224
368,84,580,180
204,80,384,400
68,32,208,12
256,72,572,164
168,60,320,276
336,80,532,176
256,80,540,156
212,64,256,216
156,56,236,224
380,84,604,184
352,84,560,180
308,76,544,164
172,60,252,208
172,60,272,228
240,72,392,340
352,80,588,160
200,64,252,212
196,64,256,232
300,84,520,156
180,60,268,260
144,56,268,184
180,60,308,208
240,76,428,596
144,56,188,180
276,72,496,164
332,80,580,184
48,16,116,4
132,56,248,280
68,32,196,12
188,64,240,184
180,60,368,124
48,16,152,8
132,52,272,216
172,60,228,216
224,68,404,308
288,72,512,172
300,76,504,176
236,64,328,256
452,88,700,144
208,64,260,280
172,60,268,272
360,84,568,204
64,28,168,20
292,76,516,148
200,68,308,328
324,80,556,184
160,60,292,232
252,68,560,204
176,64,280,252
284,76,528,148
272,72,480,124
168,60,256,196
156,60,276,256
328,76,616,196
360,80,708,120
388,84,564,192
304,84,592,188
284,76,520,172
344,80,572,152
188,64,240,200
288,80,652,124
204,64,276,284
172,60,196,160
184,60,292,92
48,16,180,12
168,60,284,196
228,72,420,432
268,68,516,160
172,60,228,220
400,88,408,84
300,80,548,168
172,64,240,192
60,28,228,20
348,84,556,180
268,76,528,180
284,76,568,168
224,64,312,260
136,56,220,180
168,60,288,228
300,76,588,200
228,64,304,80
160,60,372,316
240,68,320,68
192,64,300,236
192,64,252,232
188,64,252,192
368,80,576,192
324,72,528,168
372,84,728,120
204,64,264,280
184,60,304,204
320,80,552,184
128,48,264,48
212,64,276,332
96,40,200,12
52,24,228,12
276,76,544,176
220,68,256,264
244,76,588,180
128,52,204,132
324,80,548,172
180,64,260,252
164,60,276,204
240,76,536,160
140,56,248,216
356,84,616,220
328,84,548,164
148,56,272,184
336,76,572,172
356,80,536,180
216,68,288,276
212,68,272,204
356,80,592,172
140,56,276,188
240,68,316,360
284,68,472,136
312,76,496,144
168,60,276,232
284,76,548,180
188,64,300,232
360,80,576,180
364,88,608,176
292,80,560,176
356,76,572,180
140,56,264,112
228,64,460,116
244,84,412,324
192,64,256,244
188,64,328,300
352,76,576,176
164,60,276,224
400,88,564,204
208,72,432,316
300,76,564,176
200,64,268,232
292,76,564,176
300,76,572,164
52,24,164,24
304,84,744,116
336,76,540,168
52,20,152,8
172,68,448,388
224,68,272,232
188,64,248,180
260,76,560,164
212,76,500,436
200,60,192,180
48,16,196,20
208,64,252,192
176,64,304,200
264,72,520,156
204,64,232,216
208,68,256,212
204,64,288,248
108,48,236,20
208,68,300,320
296,76,532,156
308,80,500,184
176,64,268,236
348,84,568,200
156,60,256,152
172,60,240,224
404,88,748,152
216,68,544,160
200,64,256,200
56,24,204,12
228,72,416,396
332,84,536,184
168,60,272,232
276,76,548,168
224,68,232,240
300,80,588,188
48,16,136,8
308,76,552,156
284,76,548,192
184,60,316,320
252,88,340,392
216,68,312,292
244,68,512,156
184,68,424,332
356,84,620,176
236,72,556,180
52,20,160,16
248,72,488,172
288,76,488,140
328,76,584,196
156,56,232,200
264,76,592,164
72,32,188,16
440,92,724,124
200,64,248,244
292,76,576,192
88,36,264,20
52,16,172,12
184,64,296,224
96,40,280,4
248,76,540,176
188,68,352,304
200,64,276,192
336,76,572,176
256,72,564,152
336,80,596,208
340,80,616,172
236,68,328,324
120,56,260,164
288,76,568,156
172,64,336,268
348,80,592,184
252,68,420,332
300,76,556,148
128,56,332,80
388,84,612,196
184,68,484,128
216,72,424,316
48,16,88,16
364,84,732,124
232,68,280,296
172,60,304,284
192,64,480,316
272,76,592,200
288,76,536,188
280,76,552,168
196,64,424,468
404,88,784,128
300,76,560,180
376,80,580,184
76,32,268,24
300,80,524,176
216,64,264,220
256,76,608,192
392,84,608,200
160,56,276,276
52,20,152,20
204,68,456,364
176,60,256,220
380,84,564,192
268,72,540,144
332,76,564,192
284,76,584,212
308,76,556,180
344,80,752,120
356,80,532,196
56,20,152,16
260,76,572,184
172,64,380,272
204,68,272,300
340,84,792,140
188,64,292,280
168,60,260,236
376,84,612,200
204,76,456,104
164,60,244,220
192,64,268,224
364,88,564,164
164,60,280,204
372,88,752,144
44,8,152,12
304,72,588,188
196,64,368,284
60,24,228,24
228,76,452,728
200,64,236,260
272,76,556,180
276,84,596,188
152,60,264,224
220,68,360,300
196,64,256,204
176,64,292,260
192,64,284,192
132,64,404,348
240,72,428,384
324,80,504,140
240,76,436,316
152,56,284,200
312,88,608,196
228,76,516,140
