Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal,,,,,,,,,,,,,,,,,,,,,,Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
44,12,168,12,,,,,,,,,,,,,,,,,,,,,,44,12,168,12
188,60,328,432,,,,,,,,,,,,,,,,,,,,,,188,60,328,432
384,88,624,200,,,,,,,,,,,,,,,,,,,,,,384,88,624,200
340,88,564,188,,,,,,,,,,,,,,,,,,,,,,340,88,564,188
328,80,580,204,,,,,,,,,,,,,,,,,,,,,,328,80,580,204
68,32,232,24,,,,,,,,,,,,,,,,,,,,,,68,32,232,24
44,12,152,12,,,,,,,,,,,,,,,,,,,,,,44,12,152,12
180,64,280,304,,,,,,,,,,,,,,,,,,,,,,180,64,280,304
332,84,612,220,,,,,,,,,,,,,,,,,,,,,,332,84,612,220
288,76,560,168,,,,,,,,,,,,,,,,,,,,,,288,76,560,168
328,76,520,192,,,,,,,,,,,,,,,,,,,,,,328,76,520,192
52,20,232,28,,,,,,,,,,,,,,,,,,,,,,52,20,232,28
340,80,592,180,,,,,,,,,,,,,,,,,,,,,,340,80,592,180
56,24,176,24,,,,,,,,,,,,,,,,,,,,,,56,24,176,24
344,84,624,184,,,,,,,,,,,,,,,,,,,,,,344,84,624,184
196,76,504,448,,,,,,,,,,,,,,,,,,,,,,196,76,504,448
40,8,148,8,,,,,,,,,,,,,,,,,,,,,,40,8,148,8
76,32,236,36,,,,,,,,,,,,,,,,,,,,,,76,32,236,36
340,76,556,212,,,,,,,,,,,,,,,,,,,,,,340,76,556,212
308,80,528,172,,,,,,,,,,,,,,,,,,,,,,308,80,528,172
48,16,180,16,,,,,,,,,,,,,,,,,,,,,,48,16,180,16
368,76,592,188,,,,,,,,,,,,,,,,,,,,,,368,76,592,188
196,68,300,268,,,,,,,,,,,,,,,,,,,,,,196,68,300,268
212,68,244,240,,,,,,,,,,,,,,,,,,,,,,212,68,244,240
60,28,184,16,,,,,,,,,,,,,,,,,,,,,,60,28,184,16
176,68,300,236,,,,,,,,,,,,,,,,,,,,,,176,68,300,236
328,80,600,192,,,,,,,,,,,,,,,,,,,,,,328,80,600,192
84,40,292,20,,,,,,,,,,,,,,,,,,,,,,84,40,292,20
52,20,148,8,,,,,,,,,,,,,,,,,,,,,,52,20,148,8
64,24,216,24,,,,,,,,,,,,,,,,,,,,,,64,24,216,24
360,80,560,200,,,,,,,,,,,,,,,,,,,,,,360,80,560,200
188,60,256,216,,,,,,,,,,,,,,,,,,,,,,188,60,256,216
44,8,196,16,,,,,,,,,,,,,,,,,,,,,,44,8,196,16
80,36,220,44,,,,,,,,,,,,,,,,,,,,,,80,36,220,44
44,12,204,8,,,,,,,,,,,,,,,,,,,,,,44,12,204,8
348,84,644,172,,,,,,,,,,,,,,,,,,,,,,348,84,644,172
232,72,448,380,,,,,,,,,,,,,,,,,,,,,,232,72,448,380
60,24,196,12,,,,,,,,,,,,,,,,,,,,,,60,24,196,12
368,80,560,156,,,,,,,,,,,,,,,,,,,,,,368,80,560,156
112,44,256,32,,,,,,,,,,,,,,,,,,,,,,112,44,256,32
88,40,240,36,,,,,,,,,,,,,,,,,,,,,,88,40,240,36
344,84,608,192,,,,,,,,,,,,,,,,,,,,,,344,84,608,192
280,92,632,204,,,,,,,,,,,,,,,,,,,,,,280,92,632,204
416,80,612,196,,,,,,,,,,,,,,,,,,,,,,416,80,612,196
160,60,260,260,,,,,,,,,,,,,,,,,,,,,,160,60,260,260
228,76,456,524,,,,,,,,,,,,,,,,,,,,,,228,76,456,524
168,60,280,332,,,,,,,,,,,,,,,,,,,,,,168,60,280,332
360,84,608,200,,,,,,,,,,,,,,,,,,,,,,360,84,608,200
304,72,536,160,,,,,,,,,,,,,,,,,,,,,,304,72,536,160
44,16,196,12,,,,,,,,,,,,,,,,,,,,,,44,16,196,12
160,56,268,240,,,,,,,,,,,,,,,,,,,,,,160,56,268,240
280,76,552,172,,,,,,,,,,,,,,,,,,,,,,280,76,552,172
48,20,136,8,,,,,,,,,,,,,,,,,,,,,,48,20,136,8
48,12,104,8,,,,,,,,,,,,,,,,,,,,,,48,12,104,8
44,12,204,12,,,,,,,,,,,,,,,,,,,,,,44,12,204,12
356,80,604,176,,,,,,,,,,,,,,,,,,,,,,356,80,604,176
284,80,460,480,,,,,,,,,,,,,,,,,,,,,,284,80,460,480
396,88,688,216,,,,,,,,,,,,,,,,,,,,,,396,88,688,216
156,64,232,248,,,,,,,,,,,,,,,,,,,,,,156,64,232,248
244,84,536,160,,,,,,,,,,,,,,,,,,,,,,244,84,536,160
180,64,312,276,,,,,,,,,,,,,,,,,,,,,,180,64,312,276
328,76,528,168,,,,,,,,,,,,,,,,,,,,,,328,76,528,168
52,20,168,12,,,,,,,,,,,,,,,,,,,,,,52,20,168,12
280,80,628,172,,,,,,,,,,,,,,,,,,,,,,280,80,628,172
232,76,396,364,,,,,,,,,,,,,,,,,,,,,,232,76,396,364
68,28,228,24,,,,,,,,,,,,,,,,,,,,,,68,28,228,24
240,76,552,132,,,,,,,,,,,,,,,,,,,,,,240,76,552,132
364,84,600,216,,,,,,,,,,,,,,,,,,,,,,364,84,600,216
312,80,560,180,,,,,,,,,,,,,,,,,,,,,,312,80,560,180
392,84,624,204,,,,,,,,,,,,,,,,,,,,,,392,84,624,204
324,84,560,172,,,,,,,,,,,,,,,,,,,,,,324,84,560,172
44,12,168,28,,,,,,,,,,,,,,,,,,,,,,44,12,168,28
52,20,208,28,,,,,,,,,,,,,,,,,,,,,,52,20,208,28
44,8,212,12,,,,,,,,,,,,,,,,,,,,,,44,8,212,12
44,12,192,16,,,,,,,,,,,,,,,,,,,,,,44,12,192,16
60,24,160,16,,,,,,,,,,,,,,,,,,,,,,60,24,160,16
284,72,544,180,,,,,,,,,,,,,,,,,,,,,,284,72,544,180
300,76,572,216,,,,,,,,,,,,,,,,,,,,,,300,76,572,216
372,88,644,256,,,,,,,,,,,,,,,,,,,,,,372,88,644,256
100,44,332,24,,,,,,,,,,,,,,,,,,,,,,100,44,332,24
268,76,432,136,,,,,,,,,,,,,,,,,,,,,,268,76,432,136
44,8,228,16,,,,,,,,,,,,,,,,,,,,,,44,8,228,16
384,88,600,220,,,,,,,,,,,,,,,,,,,,,,384,88,600,220
356,84,608,180,,,,,,,,,,,,,,,,,,,,,,356,84,608,180
44,8,160,20,,,,,,,,,,,,,,,,,,,,,,44,8,160,20
292,80,580,200,,,,,,,,,,,,,,,,,,,,,,292,80,580,200
140,56,316,232,,,,,,,,,,,,,,,,,,,,,,140,56,316,232
60,24,232,28,,,,,,,,,,,,,,,,,,,,,,60,24,232,28
216,68,472,144,,,,,,,,,,,,,,,,,,,,,,216,68,472,144
200,64,276,288,,,,,,,,,,,,,,,,,,,,,,200,64,276,288
368,80,616,200,,,,,,,,,,,,,,,,,,,,,,368,80,616,200
208,80,468,372,,,,,,,,,,,,,,,,,,,,,,208,80,468,372
60,24,176,16,,,,,,,,,,,,,,,,,,,,,,60,24,176,16
52,20,220,24,,,,,,,,,,,,,,,,,,,,,,52,20,220,24
312,76,556,180,,,,,,,,,,,,,,,,,,,,,,312,76,556,180
296,76,552,188,,,,,,,,,,,,,,,,,,,,,,296,76,552,188
328,80,588,184,,,,,,,,,,,,,,,,,,,,,,328,80,588,184
316,80,576,196,,,,,,,,,,,,,,,,,,,,,,316,80,576,196
292,76,572,204,,,,,,,,,,,,,,,,,,,,,,292,76,572,204
268,72,596,200,,,,,,,,,,,,,,,,,,,,,,268,72,596,200
